age,steps_per_day,exercise_hours,water_liters,fitness_score
29.0,10539.0,5.3,3.5,54.1
61.0,13709.0,9.4,4.3,68.3
34.0,3464.0,0.6,4.9,26.3
30.0,18228.0,8.3,3.5,71.2
64.0,,2.2,3.1,42.4
29.0,16239.0,-2.0,4.0,80.5
53.0,3525.0,11.7,4.5,43.7
21.0,8635.0,10.5,3.0,49.6
47.0,19034.0,4.6,2.9,62.1
55.0,19193.0,0.4,3.5,68.9
63.0,8052.0,6.4,4.0,40.7
24.0,13639.0,14.2,3.1,76.9
46.0,2755.0,0.9,1.7,20.8
63.0,3820.0,13.8,1.4,47.3
37.0,2388.0,8.6,2.9,35.7
56.0,18273.0,7.4,3.9,69.9
63.0,6276.0,4.7,2.2,25.3
33.0,3432.0,4.9,1.2,20.2
38.0,10014.0,,2.1,34.7
57.0,-100.0,8.5,4.7,46.7
44.0,8892.0,11.4,2.9,62.1
35.0,10545.0,1.8,2.7,29.6
63.0,18725.0,10.5,1.9,82.3
46.0,2183.0,1.6,2.7,15.1
35.0,12895.0,13.1,2.7,61.5
29.0,16820.0,8.4,1.4,59.0
53.0,2382.0,7.3,1.9,15.5
57.0,18990.0,2.8,3.1,61.0
33.0,12968.0,12.5,1.8,67.7
41.0,14463.0,14.5,15.0,66.6
26.0,9594.0,12.6,4.0,57.9
31.0,13993.0,13.1,4.9,75.1
24.0,18175.0,7.2,3.5,68.5
38.0,2996.0,12.5,1.8,42.8
20.0,4523.0,2.7,1.1,23.6
58.0,18995.0,1.9,4.5,59.2
54.0,5911.0,12.7,3.1,48.6
20.0,-100.0,5.4,2.6,49.5
63.0,4726.0,5.4,2.2,28.6
19.0,17555.0,13.9,3.8,84.8
46.0,6682.0,-2.0,2.1,40.9
39.0,15134.0,9.6,2.9,57.4
37.0,15877.0,4.9,5.0,76.1
23.0,19070.0,1.7,4.3,65.0
27.0,5440.0,6.4,1.3,29.5
62.0,1360.0,12.0,2.3,31.1
46.0,6725.0,3.5,3.0,33.9
20.0,7226.0,5.1,2.4,39.6
20.0,14305.0,8.4,4.2,69.8
50.0,10572.0,14.0,1.4,56.3
35.0,3772.0,2.7,1.7,12.4
26.0,2332.0,4.0,3.1,28.5
28.0,6580.0,2.6,3.4,35.9
22.0,9219.0,0.9,2.0,37.4
56.0,7528.0,7.6,3.4,46.3
38.0,4511.0,11.1,15.0,51.8
40.0,16646.0,11.6,2.6,66.6
40.0,11515.0,7.3,3.3,44.2
22.0,8037.0,12.0,1.9,54.6
23.0,14410.0,4.4,2.8,49.3
41.0,11912.0,0.7,2.2,30.9
34.0,18603.0,12.6,2.0,75.1
29.0,6209.0,3.1,3.2,39.1
23.0,8125.0,11.9,4.0,52.4
50.0,8673.0,1.2,3.1,42.3
34.0,15023.0,0.2,1.0,38.7
61.0,17570.0,14.6,2.0,82.1
24.0,9016.0,4.2,1.1,31.0
37.0,5878.0,-2.0,4.6,50.2
40.0,10399.0,13.1,4.2,67.0
49.0,16734.0,10.3,3.7,76.7
48.0,18256.0,5.3,3.3,69.8
37.0,18867.0,4.2,4.5,72.9
41.0,6386.0,2.4,15.0,34.1
36.0,1479.0,1.0,3.9,18.0
36.0,9651.0,10.8,1.4,46.4
63.0,16336.0,13.8,1.5,64.5
44.0,9763.0,7.6,3.6,43.5
48.0,2361.0,3.1,2.0,25.5
58.0,16254.0,14.4,2.5,79.0
52.0,14746.0,3.9,2.1,60.9
52.0,11408.0,12.8,1.1,50.8
,16767.0,6.8,5.0,72.6
35.0,3506.0,0.1,3.4,20.5
19.0,16026.0,9.4,3.8,67.8
57.0,9761.0,13.4,3.5,61.4
44.0,5781.0,10.3,4.2,47.9
37.0,8467.0,9.6,2.8,44.4
55.0,4169.0,11.0,1.8,36.2
62.0,2980.0,11.1,2.7,34.7
26.0,15330.0,10.4,3.8,68.8
37.0,15028.0,4.2,3.9,63.4
31.0,9523.0,0.5,2.2,37.0
18.0,5606.0,3.5,2.8,41.5
31.0,6220.0,8.2,3.2,43.9
27.0,6966.0,8.4,2.1,34.3
20.0,2614.0,4.1,3.7,30.9
22.0,13129.0,11.6,3.5,63.1
54.0,19333.0,9.3,0.7,69.4
29.0,3120.0,4.3,5.0,32.8
42.0,1503.0,10.3,3.3,30.1
50.0,10197.0,4.1,0.9,34.5
41.0,5934.0,8.5,4.2,41.7
27.0,9090.0,6.2,3.5,47.1
28.0,18192.0,8.3,4.1,79.1
52.0,16744.0,6.5,1.5,57.3
42.0,15503.0,13.7,4.5,81.5
23.0,2290.0,4.8,3.2,16.6
,,7.0,4.0,43.7
29.0,19453.0,12.8,4.8,88.3
40.0,14953.0,2.2,1.4,39.8
58.0,14168.0,13.1,4.0,73.4
37.0,7860.0,0.4,4.7,32.9
50.0,1452.0,9.4,0.7,24.9
60.0,9538.0,8.1,0.9,49.1
25.0,12877.0,8.9,4.0,59.4
41.0,4488.0,6.8,2.3,32.3
43.0,4211.0,10.8,3.9,36.9
63.0,15724.0,14.5,2.6,74.7
25.0,14442.0,9.9,3.0,61.0
21.0,6243.0,9.3,2.2,42.5
58.0,14976.0,14.5,3.5,74.5
60.0,12976.0,3.1,3.3,53.1
25.0,14985.0,9.9,2.2,76.2
60.0,1008.0,9.4,4.9,31.2
49.0,17511.0,8.3,4.5,72.9
40.0,19534.0,1.7,5.0,67.7
40.0,6477.0,6.1,4.6,38.2
20.0,11646.0,9.1,0.8,50.1
47.0,7968.0,15.0,4.4,61.1
25.0,8761.0,11.0,3.9,51.8
21.0,8958.0,6.8,1.4,46.4
21.0,19659.0,3.5,2.0,60.4
46.0,6183.0,8.0,3.5,40.3
48.0,3001.0,14.8,1.9,33.9
26.0,8120.0,11.6,3.1,60.8
44.0,16087.0,5.8,5.0,60.1
52.0,1206.0,7.1,1.0,16.5
35.0,10942.0,10.2,2.2,53.4
25.0,1221.0,3.5,1.3,15.0
60.0,19906.0,2.7,3.5,65.2
20.0,12935.0,1.4,1.2,34.0
39.0,9205.0,4.5,4.1,48.2
29.0,16988.0,8.7,1.7,60.3
64.0,15796.0,11.4,3.2,70.4
53.0,3364.0,0.3,1.3,18.0
35.0,7301.0,13.3,2.3,45.9
30.0,15696.0,5.0,1.1,51.1
27.0,15515.0,2.1,3.6,52.1
52.0,5389.0,7.1,2.3,35.0
33.0,14744.0,7.4,2.5,54.8
44.0,14283.0,5.0,0.9,35.0
37.0,14753.0,4.0,2.5,51.3
32.0,11283.0,9.8,0.6,50.5
45.0,9489.0,0.2,4.8,42.6
60.0,8928.0,8.3,3.0,46.9
31.0,6985.0,7.1,2.3,30.4
61.0,2201.0,13.8,2.4,38.7
31.0,4902.0,12.3,2.3,37.3
32.0,13561.0,1.0,1.9,33.0
32.0,10205.0,0.4,1.8,22.8
43.0,4108.0,2.4,4.1,28.3
52.0,1937.0,5.0,3.5,20.9
61.0,5805.0,12.3,1.3,48.1
48.0,1017.0,9.9,1.6,19.4
49.0,13685.0,5.4,4.3,54.9
50.0,3771.0,1.6,2.8,22.3
45.0,6773.0,13.6,1.4,51.6
33.0,1591.0,8.6,3.2,33.5
49.0,17687.0,10.7,1.1,67.1
34.0,12319.0,6.4,3.0,49.6
30.0,16057.0,1.8,3.8,61.9
40.0,10354.0,8.7,2.3,45.2
18.0,14140.0,0.2,2.9,43.8
32.0,3889.0,13.5,1.9,51.0
64.0,15995.0,2.4,1.2,47.4
43.0,12986.0,5.7,3.0,52.0
27.0,4744.0,7.2,2.4,37.8
24.0,15008.0,14.6,1.8,76.2
23.0,8820.0,,1.1,31.8
35.0,15371.0,5.9,4.5,68.0
25.0,19156.0,10.4,4.6,82.7
24.0,10391.0,2.3,2.9,36.0
32.0,7066.0,7.6,4.1,41.6
23.0,14386.0,1.9,1.8,59.4
33.0,14993.0,,0.8,40.4
19.0,12390.0,12.1,2.7,61.1
60.0,9278.0,12.7,2.0,52.1
27.0,10970.0,2.3,4.7,47.2
37.0,5285.0,1.5,3.0,28.2
20.0,8125.0,6.2,4.4,54.0
32.0,17645.0,,4.7,71.9
58.0,5108.0,10.7,3.1,43.6
29.0,13697.0,9.7,2.4,60.6
47.0,4805.0,7.0,3.6,27.8
36.0,11769.0,7.4,2.1,55.7
35.0,4409.0,3.6,3.9,31.7
40.0,6385.0,11.1,0.6,41.8
20.0,17027.0,1.2,2.1,47.3
49.0,10072.0,5.0,0.8,39.8
30.0,2267.0,3.3,2.1,15.3
34.0,9576.0,12.5,2.7,60.9
18.0,14238.0,7.7,0.7,57.1
57.0,7648.0,2.9,1.7,27.4
48.0,1286.0,10.8,0.8,20.1
61.0,4310.0,1.9,3.2,22.9
32.0,11004.0,13.6,4.0,61.9
39.0,17889.0,8.2,3.2,72.4
64.0,3244.0,0.8,2.6,19.2
54.0,7926.0,13.9,2.1,51.9
46.0,17542.0,11.9,1.0,77.1
62.0,15382.0,0.3,2.1,34.2
25.0,5431.0,4.7,4.2,40.8
37.0,19407.0,10.8,3.8,75.9
27.0,11217.0,8.6,3.2,54.3
57.0,2272.0,2.8,3.3,31.1
49.0,15193.0,1.9,3.1,43.2
40.0,15138.0,1.6,2.9,50.1
29.0,8718.0,0.6,4.2,24.3
56.0,16621.0,1.7,4.4,68.7
23.0,3499.0,11.2,3.0,37.3
20.0,10246.0,-2.0,2.4,46.4
46.0,2476.0,11.0,3.5,42.9
38.0,6531.0,8.3,2.0,37.4
41.0,4745.0,7.2,1.8,42.3
33.0,2665.0,11.1,4.9,43.1
63.0,16879.0,4.6,0.7,48.0
42.0,5809.0,2.8,3.9,29.6
18.0,7249.0,7.9,4.7,42.7
62.0,17055.0,14.1,1.3,76.9
23.0,3734.0,8.4,0.9,27.8
51.0,14060.0,3.3,4.1,53.5
44.0,,7.4,0.8,51.6
26.0,10936.0,14.2,15.0,51.6
46.0,8713.0,1.0,3.7,33.1
64.0,9021.0,0.4,4.2,42.0
64.0,13031.0,10.0,1.0,56.2
56.0,12842.0,12.5,3.1,70.9
19.0,18466.0,10.1,1.4,69.0
55.0,10783.0,10.9,2.5,53.3
26.0,15557.0,6.0,1.2,59.5
39.0,7572.0,0.5,2.1,33.1
27.0,9916.0,6.1,2.3,56.5
30.0,13913.0,13.8,3.5,67.2
64.0,14311.0,11.1,1.5,72.3
31.0,5130.0,8.2,1.4,31.1
47.0,4366.0,14.8,2.4,39.5
35.0,12952.0,9.2,2.5,53.7
36.0,4548.0,4.0,4.9,41.5
30.0,1796.0,1.3,2.7,9.0
48.0,17710.0,3.4,4.0,70.9
25.0,5356.0,14.9,3.8,60.6
26.0,3739.0,8.0,1.8,31.4
24.0,,3.9,4.6,36.9
39.0,14957.0,1.1,3.1,61.3
60.0,5271.0,14.0,4.5,56.1
63.0,8782.0,12.5,3.1,52.7
51.0,18613.0,9.0,1.9,73.7
42.0,14810.0,1.0,1.0,48.9
47.0,6882.0,4.4,3.2,40.1
33.0,8473.0,3.2,0.9,38.0
36.0,4823.0,11.4,0.6,36.7
46.0,16570.0,1.6,1.7,44.9
34.0,16389.0,5.0,1.6,45.7
63.0,13099.0,8.2,1.5,51.8
56.0,10337.0,,1.1,37.6
60.0,16556.0,0.6,3.4,55.1
24.0,3007.0,3.3,2.0,26.7
61.0,4039.0,3.6,4.7,36.0
35.0,11653.0,2.5,2.0,44.3
,18294.0,7.3,2.8,75.5
51.0,10641.0,0.4,2.8,28.8
44.0,10576.0,9.6,2.9,57.4
43.0,17031.0,6.6,2.0,62.9
35.0,8355.0,12.5,1.0,56.8
49.0,7179.0,6.2,1.4,31.9
23.0,9752.0,2.1,1.9,36.4
32.0,4866.0,5.8,1.7,27.6
39.0,5473.0,10.7,1.7,42.9
45.0,19600.0,5.9,0.7,56.5
21.0,13371.0,7.5,2.5,57.8
19.0,7385.0,6.3,5.0,48.6
28.0,18934.0,5.2,3.4,67.5
60.0,12631.0,12.9,0.7,55.6
39.0,5401.0,0.9,1.9,19.3
23.0,7869.0,5.2,4.7,41.4
30.0,8599.0,13.1,4.2,61.0
23.0,6533.0,11.8,1.5,47.9
33.0,5327.0,4.1,2.1,21.3
22.0,17592.0,6.6,4.0,74.9
23.0,5111.0,2.7,3.7,32.2
63.0,18663.0,13.0,1.8,77.7
46.0,13040.0,0.1,3.8,41.1
52.0,4588.0,3.0,0.8,17.4
30.0,1476.0,4.9,0.6,15.8
18.0,2646.0,4.0,4.8,27.0
38.0,14289.0,4.6,3.6,44.6
25.0,9773.0,5.7,1.3,40.4
30.0,18762.0,0.8,3.6,63.7
24.0,9806.0,0.8,2.5,23.0
39.0,9841.0,8.4,0.5,43.2
62.0,2291.0,12.1,4.1,29.3
41.0,16979.0,12.9,2.6,79.0
45.0,19582.0,12.8,2.8,77.8
33.0,17199.0,8.2,1.2,63.0
55.0,9482.0,11.8,1.7,51.3
64.0,8720.0,3.8,1.9,38.0
47.0,16947.0,5.7,4.8,62.5
62.0,3818.0,14.9,2.5,45.4
23.0,15156.0,7.0,4.0,63.6
,1920.0,14.2,2.5,35.4
21.0,10663.0,12.7,4.1,65.9
30.0,15612.0,4.6,3.7,55.4
64.0,12638.0,9.5,1.0,54.4
48.0,2910.0,0.4,0.9,5.2
50.0,2603.0,9.0,0.8,32.5
64.0,11636.0,11.1,4.5,57.4
50.0,6355.0,10.7,1.4,36.1
18.0,19162.0,10.3,4.6,76.8
52.0,19911.0,13.9,4.4,87.4
45.0,7537.0,13.4,0.7,52.0
60.0,17134.0,11.5,1.2,70.0
59.0,14077.0,6.4,1.1,56.1
29.0,11288.0,0.6,4.4,41.3
53.0,3693.0,6.7,4.8,33.5
49.0,6559.0,11.6,1.4,32.0
32.0,4192.0,1.6,4.6,26.1
32.0,14017.0,12.7,2.3,70.3
50.0,8974.0,0.3,1.4,27.8
46.0,19788.0,9.6,4.5,76.2
39.0,12052.0,6.5,1.8,47.3
24.0,7958.0,9.3,2.6,42.6
36.0,1400.0,5.2,2.2,12.3
60.0,6644.0,9.9,0.6,33.5
18.0,13320.0,7.4,1.4,47.2
61.0,10672.0,1.6,1.3,46.9
22.0,14670.0,6.7,3.1,73.6
33.0,12051.0,7.5,0.6,42.5
23.0,2501.0,14.8,0.8,40.2
43.0,17684.0,11.0,3.0,79.0
25.0,6872.0,6.8,3.9,46.6
50.0,3831.0,10.6,2.0,33.0
63.0,7114.0,3.6,4.5,44.1
35.0,8361.0,10.1,1.1,49.2
52.0,3238.0,5.3,1.5,24.7
50.0,19651.0,7.3,2.7,74.5
50.0,9306.0,14.8,2.2,59.5
49.0,7580.0,6.2,2.9,42.3
32.0,19078.0,4.2,5.0,70.3
44.0,2801.0,2.9,4.4,26.7
20.0,5218.0,1.9,1.8,19.3
53.0,5433.0,11.1,0.8,33.9
27.0,12357.0,9.6,1.9,51.8
41.0,6065.0,2.6,1.9,35.8
44.0,4854.0,3.1,2.7,27.6
46.0,3507.0,9.4,1.0,27.6
63.0,4745.0,11.0,1.0,40.2
27.0,10273.0,5.2,4.3,49.0
49.0,3082.0,14.0,1.0,37.4
45.0,5800.0,13.7,4.3,64.9
34.0,1521.0,13.8,2.6,39.3
26.0,1775.0,9.2,3.9,40.2
41.0,-100.0,14.3,3.5,55.0
43.0,4930.0,8.0,1.4,32.4
58.0,6245.0,4.2,3.1,36.6
32.0,14885.0,11.6,2.2,72.8
48.0,7075.0,7.9,1.2,40.9
34.0,2936.0,11.2,3.1,39.0
30.0,12718.0,14.4,2.6,61.8
55.0,16526.0,6.2,2.9,63.8
39.0,13695.0,7.6,0.9,51.0
33.0,4603.0,7.3,1.9,29.0
42.0,14989.0,13.2,1.2,58.0
58.0,6796.0,7.4,2.2,35.8
50.0,6710.0,9.2,0.7,42.0
43.0,6444.0,9.0,2.7,36.8
21.0,18334.0,1.8,1.3,61.3
24.0,10908.0,4.2,4.9,53.0
32.0,15217.0,10.4,2.4,58.0
44.0,2698.0,8.2,,29.9
61.0,1221.0,9.3,4.7,33.6
29.0,11707.0,0.4,2.0,37.0
54.0,9544.0,3.2,1.0,26.7
37.0,7454.0,9.7,0.7,43.8
37.0,18092.0,13.2,2.4,77.2
57.0,5601.0,14.3,4.5,58.7
57.0,8186.0,3.0,3.2,43.7
41.0,3254.0,14.0,1.1,40.0
47.0,18136.0,11.8,2.0,75.7
24.0,1423.0,6.0,2.9,35.1
23.0,10693.0,11.6,1.1,56.0
50.0,8901.0,9.1,4.6,61.4
64.0,16026.0,12.3,1.6,68.9
64.0,19307.0,6.9,3.3,71.4
52.0,2540.0,10.0,3.8,47.5
39.0,7534.0,12.9,2.2,45.8
59.0,1278.0,12.6,1.4,41.9
43.0,12981.0,3.0,2.4,49.5
33.0,16267.0,0.4,1.1,38.0
51.0,19379.0,4.5,3.1,67.4
39.0,15196.0,2.5,2.5,58.4
56.0,17033.0,10.4,3.6,76.3
21.0,4267.0,0.4,0.6,5.5
44.0,14789.0,2.7,2.4,49.1
18.0,9634.0,7.3,4.6,52.4
34.0,4235.0,11.9,1.0,36.1
21.0,12097.0,13.2,3.4,62.2
39.0,10448.0,1.6,1.5,33.2
55.0,9482.0,11.8,1.7,51.3
58.0,10449.0,11.5,2.4,53.8
34.0,11809.0,2.9,1.6,44.5
38.0,6607.0,3.4,2.4,26.1
50.0,3427.0,0.1,4.3,27.8
32.0,15697.0,9.7,4.3,73.6
57.0,5255.0,4.4,5.0,28.1
26.0,11198.0,14.3,4.2,67.9
61.0,12101.0,3.5,1.1,37.8
50.0,2692.0,14.9,1.7,30.6
38.0,4211.0,13.8,1.1,37.7
26.0,8784.0,1.3,1.8,37.6
51.0,13703.0,10.1,1.7,55.0
28.0,11588.0,12.0,0.5,56.3
52.0,15125.0,13.0,2.2,66.4
21.0,18827.0,6.3,2.6,66.5
32.0,2008.0,10.0,4.1,28.5
28.0,15124.0,1.6,3.4,55.1
39.0,10732.0,9.0,3.3,56.9
21.0,18334.0,1.8,1.3,61.3
,6043.0,4.1,1.4,19.2
20.0,8748.0,15.0,4.3,60.1
64.0,11863.0,3.2,4.9,51.6
61.0,13739.0,12.3,1.2,61.3
54.0,14300.0,9.6,2.7,72.4
33.0,10186.0,10.8,2.9,63.7
51.0,12973.0,13.0,1.7,69.9
19.0,13938.0,9.1,4.3,60.1
48.0,17077.0,4.8,4.1,62.2
29.0,18607.0,11.9,3.8,83.3
49.0,8221.0,9.4,4.8,50.9
57.0,14993.0,1.1,3.3,43.7
63.0,5770.0,14.8,4.5,58.9
19.0,4718.0,11.2,2.0,45.3
51.0,9896.0,5.1,4.3,52.2
62.0,3702.0,5.1,4.8,38.9
29.0,4492.0,8.8,0.6,28.5
42.0,2190.0,7.0,2.2,20.0
33.0,10349.0,6.9,4.9,58.3
23.0,14810.0,14.3,4.8,69.9
48.0,18465.0,11.9,2.6,76.2
20.0,10246.0,-2.0,2.4,46.4
27.0,8318.0,12.6,1.8,60.4
44.0,3721.0,9.4,4.2,38.3
30.0,2400.0,11.0,3.2,31.5
53.0,14983.0,6.3,4.5,64.8
31.0,2279.0,8.0,1.7,29.2
58.0,9966.0,8.5,3.8,53.8
45.0,1911.0,5.2,1.6,22.4
18.0,1335.0,7.3,3.1,33.4
33.0,15554.0,5.5,0.6,57.3
39.0,2120.0,12.1,3.7,46.0
33.0,1658.0,13.2,1.6,38.4
21.0,2287.0,5.9,3.1,18.2
61.0,2150.0,13.8,3.6,49.8
52.0,15681.0,4.6,2.3,54.8
58.0,15144.0,3.2,3.5,51.3
22.0,1176.0,3.4,4.5,29.0
23.0,14517.0,10.2,0.8,53.4
48.0,6614.0,3.4,0.6,27.0
33.0,15740.0,11.2,3.2,73.3
60.0,16751.0,10.5,2.9,72.1
27.0,13649.0,4.5,1.1,47.8
36.0,16471.0,9.9,4.0,69.6
41.0,15311.0,6.0,3.0,60.4
33.0,19374.0,3.3,3.1,73.3
51.0,1655.0,7.1,1.5,20.9
39.0,19364.0,13.6,2.4,83.9
45.0,6598.0,5.9,0.7,25.2
50.0,16634.0,12.9,1.6,71.4
26.0,8226.0,4.3,3.7,40.2
36.0,15862.0,6.0,1.2,58.1
58.0,8567.0,1.8,1.4,19.2
53.0,18066.0,4.0,1.9,57.7
58.0,9572.0,4.1,0.9,35.4
20.0,7433.0,2.4,1.9,31.0
52.0,1269.0,6.4,4.8,24.4
59.0,7634.0,1.4,2.3,29.5
39.0,15904.0,12.1,2.8,66.7
58.0,6608.0,8.3,1.9,46.3
55.0,6139.0,11.8,2.8,45.5
32.0,1120.0,11.6,,34.8
52.0,17716.0,10.0,0.9,60.8
35.0,15627.0,12.5,2.1,67.7
33.0,8697.0,7.4,3.1,49.4
31.0,,10.4,1.2,51.6
51.0,5794.0,4.5,0.8,28.0
60.0,,6.7,3.0,20.1
62.0,1360.0,12.0,2.3,31.1
55.0,13666.0,3.3,4.9,53.4
55.0,10168.0,1.6,3.6,33.8
35.0,16335.0,1.1,4.5,51.8
53.0,7937.0,14.3,4.4,66.5
25.0,2593.0,13.3,2.3,38.0
29.0,5242.0,4.9,2.3,33.6
61.0,19557.0,5.7,0.5,67.4
29.0,17098.0,7.9,2.7,67.6
27.0,18842.0,8.5,3.8,71.2
50.0,17091.0,10.7,1.3,70.7
58.0,4116.0,12.8,1.3,44.1
56.0,3430.0,1.5,3.6,24.3
22.0,14193.0,3.9,3.7,57.1
58.0,4916.0,14.3,2.2,48.2
60.0,8187.0,4.7,3.4,42.9
43.0,11913.0,7.5,3.0,49.5
53.0,7937.0,14.3,4.4,66.5
18.0,5868.0,14.2,3.9,47.2
49.0,19770.0,12.4,4.8,85.9
28.0,14035.0,10.8,1.1,57.8
54.0,6016.0,8.6,2.9,46.9
54.0,10806.0,13.5,2.8,63.0
42.0,10811.0,14.5,1.2,59.1
63.0,17270.0,12.3,4.9,86.3
30.0,14723.0,12.6,3.1,73.8
25.0,3411.0,3.9,1.0,22.4
19.0,1427.0,13.7,3.9,46.9
62.0,5454.0,5.0,4.6,40.3
43.0,8595.0,10.4,4.4,64.3
62.0,14961.0,2.0,4.1,52.9
44.0,17086.0,-2.0,1.5,50.3
26.0,6335.0,7.1,2.9,40.1
34.0,1080.0,1.8,3.9,21.5
31.0,11791.0,8.3,1.4,57.2
